podcast_name,rss_feed_url
The Daily,https://feeds.simplecast.com/54nAGcIl
Crime Junkie,https://feeds.simplecast.com/qm_9xx0g
The Joe Rogan Experience,https://feeds.megaphone.fm/GLT1412515089
SmartLess,https://feeds.simplecast.com/hNaFxXpO
The Shawn Ryan Show,https://feeds.megaphone.fm/WWO7410387571
The Ben Shapiro Show,https://feeds.megaphone.fm/BVDWV5370667266
Lex Fridman Podcast,https://lexfridman.com/feed/podcast/
Huberman Lab,https://feeds.megaphone.fm/hubermanlab
"All-In with Chamath, Jason, Sacks & Friedberg",https://rss.libsyn.com/shows/254861/destinations/1928300.xml
Acquired,https://feeds.transistor.fm/acquired
How I Built This with Guy Raz,https://rss.art19.com/how-i-built-this
My First Million,https://feeds.megaphone.fm/HS2300184645
Lenny's Podcast: Product | Career | Growth,https://api.substack.com/feed/podcast/10845.rss
Y Combinator Startup Podcast,https://anchor.fm/s/8c1524bc/podcast/rss
a16z Podcast,https://feeds.simplecast.com/JGE3yC0V
The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,https://rss.libsyn.com/shows/61840/destinations/240976.xml